img_path,date,amount,type
../utility_images/upload_image_IMG-20231031-WA0216.jpg.png,2023/02/19,2000.34,electricity
../utility_images/upload_image_IMG-20231031-WA0217.jpg.png,2 1 JAN 2021,62.50,electricity
../utility_images/upload_image_IMG-20231031-WA0219.jpg.png,2724 APR 2021,1579.90,electricity
../utility_images/upload_image_IMG-20231031-WA0221.jpg.png,21-04-07 24 APR 2021,60.00,Electricity
../utility_images/upload_image_IMG-20231031-WA0224.jpg.png,19 FEB 2021,4400,Electricity
../utility_images/upload_image_IMG-20231031-WA0225.jpg.png,a03-03-15,3725.13,electricity
../utility_images/upload_image_IMG-20231031-WA0227.jpg.png,at2-08-13,"85,.00",Electricity
../utility_images/upload_image_IMG-20231031-WA02291.jpg.png,2023/03/19,3940-52,electricity
../utility_images/upload_image_IMG-20231031-WA02292.jpg.png,2023/04/19,152.09,water
../utility_images/upload_image_IMG-20231031-WA02293.jpg.png,2023/05/19,1500.01,water
../utility_images/upload_image_IMG-20231031-WA02294.jpg.png,2023/06/19,74.43,water
../utility_images/upload_image_IMG-20231031-WA02295.jpg.png,2023/06/19,4500.08,electricity
../utility_images/upload_image_IMG-20231031-WA02296.jpg.png,2023/07/19,523.78,electricity
../utility_images/upload_image_IMG-20231031-WA02297.jpg.png,2023/07/19,100.12,water
